text,label
"That car bad gan!",positive
"This jollof na die!",positive
"Omo, this thing weak me",negative
"That guy dey mad!",negative
"This babe fine scatter",positive
"See as the thing sweet!",positive
"I no fit shout",negative
"Dem just fall my hand",negative
"Omo, this party choke!",positive
"Na better gist be this",positive
"This movie make brain",positive
"Everything burst my head",positive
"This guy na real gee",positive
"The soup no try at all",negative
"Wetin be this nonsense?",negative
"Omo, e shock me",positive
"She sabi cook die",positive
"That boy dey craze",negative
"This network na wah",negative
"Chop life gang!",positive
"This guy na werey",negative
"Abeg, comot for road",negative
"Omo, see vibes!",positive
"This one enter well",positive
"That dress make sense",positive
"See as you fine!",positive
"I tire for this country",negative
"Wetin be this rubbish?",negative
"Everything soft!",positive
"This one loud!",positive
"Omo, e too make sense",positive
"I dey vex!",negative
"Dem don mess up again",negative
"This jam sweet die",positive
"E just dey yarn dust",negative
"She no get sense",negative
"That play sweet well well",positive
"This place hot!",negative
"E pain me gan",negative
"Na cruise we dey",positive
"Person fit die here",negative
"Guy, this one mad!",positive
"This food burst my brain",positive
"Dem dey whine me?",negative
"Omo, na scam!",negative
"This cloth fresh wella",positive
"That performance legit!",positive
"No dull yourself",positive
"This rain wan kill person",negative
"See as them disgrace me",negative
"That one na correct guy",positive
"I swear, this one na banger",positive
"This one cast",negative
"See as she package",positive
"This na real gbege",negative
"The place cool die",positive
"No stress at all",positive
"Wetin concern me?",negative
"This guy get brain",positive
"The stew choke!",positive
"Dem play us 419",negative
"E no pure",negative
"This result sweet me",positive
"I dey feel am",positive
"E still dey pain me",negative
"This babe dey give me joy",positive
"Wahala be like bicycle",negative
"This party na banger",positive
"The guy get levels",positive
"I no too understand",negative
"Everything dey okay",positive
"She carry am for head",negative
"That run na correct goal",positive
"Why you dey para?",negative
"Your drip dey confuse me",positive
"Who go help us?",negative
"This combo na fire",positive
"You too dey lie",negative
"I don give up",negative
"This babe na spec",positive
"That dance sweet die",positive
"Guy, you sabi!",positive
"Una no try at all",negative
"This one na premium gist",positive
"Dem no get sense",negative
"She just dey form",negative
"That guy get mouth",positive
"This life no balance",negative
"The show mad!",positive
"She too sabi",positive
"That slap weak me",negative
"She carry last again",negative
"You burst my brain",positive
"The guy na correct plug",positive
"This test na set up",negative
"You too dey overdo",negative
"This man na legend",positive
"Dem don fall hand again",negative
"This beat dey enter body",positive
"Na she run am",positive
"E pain like mad",negative
"Omo, wahala full ground",negative
"This dress legit!",positive
"You be correct person",positive
"This na pure cruise",positive
"E too make sense!",positive
"This test wicked!",negative
"She no sabi book",negative
"Dem don mess up",negative
"Guy, I dey proud of you",positive
"This voice sweet die",positive
"You too dey do pass yourself",negative
"Omo, no cap!",positive
"This one na real gbege",negative
"That your reply burst my head",positive
"She just dey dull",negative
"Your drip dey loud",positive
"This guy dey inspire me",positive
"Nothing spoil",positive
"You don kolo",negative
"Omo, the food choke!",positive
"This work dey stress me",negative
"Guy, you too try",positive
"No be small thing o",negative
"I just dey observe",neutral
"She fine no be small",positive
"Everything just tire me",negative
"Dem show love die",positive
"This food no be am",negative
"Guy, your cruise legit",positive
"This show no get head",negative
"You be real MVP",positive
"Omo, na real talk",positive
"You dey craze?",negative
"This one clear die",positive
"I get joy",positive
"No joy for here",negative
"Why you dey yarn dust?",negative
"That match make sense",positive
"You sabi the work",positive
"E choke!",positive
"No level for that guy",negative
"You no try",negative
"This setup na scam",negative
"Guy, you dey motivate me",positive
"Dem try wella",positive
"Na today dem dey plan am",negative
"That guy dey talk anyhow",negative
"She carry am well",positive
"This na fire cruise",positive
"I no fit talk",negative
"Dem no sabi anything",negative
"Omo, you dey burst brain",positive
"That cloth too fine",positive
"This party loud!",positive
"E too mad!",positive
"Dem no serious",negative
"She no try for that matter",negative
"Guy, I relate well",positive
"You dey always deliver",positive
"This film sweet me",positive
"Omo, na cruise",positive
"No fit explain the pain",negative
"You wan wound person",negative
"That gist make brain",positive
"Omo, this one enter",positive
"Why dem do am like that?",negative
"You kill am!",positive
"I gats respect you",positive
"You no dey ever listen",negative
"This song na jam",positive
"You carry last",negative
"The food dry",negative
"Dem finish work",positive
"This guy sabi well",positive
"Omo, you dey alright",positive
"You no go school?",negative
"See as you dey reason",negative
"That your fit clean die",positive
"No cap, this one make brain",positive
"This wahala pass my power",negative
"Omo, that move make sense",positive
"You sabi package",positive
"This matter tire me",negative
"Guy, you blow!",positive
"You too dey dull",negative
"That voice get vibe",positive
"You dey give me joy",positive
"E pain me like that",negative
"This cruise dey legit",positive
"Everything dey alright",positive
"Na lie jare",negative
"Guy, chop knuckle",positive
"Na better plan be this",positive
"Omo, I no understand",negative
"Dem no serious at all",negative
"This na big W",positive
"Your code dey clean",positive
"This assignment na wahala",negative
"You sabi the drill",positive
"You finish work",positive
"This result na premium tears",negative
"You too correct",positive
"I dey gbadun this",positive
"She just fall my hand",negative
"This guy no sabi anything",negative
"Everything dey jollof",positive
"Guy, abeg rest",negative
"You too dey para",negative
"This babe dey burst brain",positive
"I dey feel your energy",positive
"She no dey ever show up",negative
"That your line na banger",positive
"Guy, no stress me",negative
"Dem just dey waste time",negative
"Everything balance",positive
"This jam na hit",positive
"You dey burst my head",positive
"She just dey follow body",negative
"This one na hot take",positive
"You get style",positive
"E no follow",negative
"You too sabi",positive
